dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
enterococcus_vancomycin_pointfinder+cdhit_train,RBF SVM,61,"[{'clf__C': 10, 'clf__gamma': 'scale'}, {'clf__C': 10, 'clf__gamma': 0.1}, {'clf__C': 10, 'clf__gamma': 'scale'}, {'clf__C': 100, 'clf__gamma': 0.01}, {'clf__C': 100, 'clf__gamma': 0.01}]","[0.8568372886764672, 0.7598420341956021, 0.9192599446798556, 0.6476434714849276, 0.7631965879043843]",0.763196588,69.6,2.059126028,0.8,0.748331477,46.4,0.8,1.8,2.227105745,0.988223371,0.009015473,0.978108532,0.023515233,0.978975002,0.02176218,0.974882629,0.030925393,0.974882629,0.030925393,0.983067376,0.015899224,0.981498783,0.020025924,0.955288306,0.04767946,0.789355865,0.092807962
enterococcus_vancomycin_pointfinder+cdhit_train,LogReg (L2),61,"[{'clf__C': 10}, {'clf__C': 100}, {'clf__C': 100}, {'clf__C': 10}, {'clf__C': 10}]","[0.2806168386767344, 0.49937145381673087, 0.6675915958554957, 0.45767643280645826, 0.5591099237491224]",0.499371454,69.6,1.019803903,1,1.095445115,46.2,1.166190379,1.8,1.326649916,0.991162638,0.006205032,0.976427859,0.017922068,0.976847343,0.018397006,0.974882629,0.018414558,0.974882629,0.018414558,0.978812057,0.023308017,0.980320243,0.014896117,0.951233692,0.037446084,0.492873249,0.127473624
enterococcus_vancomycin_pointfinder+cdhit_train,Random Forest,61,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}]","[0.5021865420494681, 0.5127523502568454, 0.5178490155359842, 0.35321946756045575, 0.5191871008667319]",0.51275235,69.2,1.720465053,1,0.894427191,46.2,0.979795897,2.2,2.039607805,0.994239253,0.0041297,0.973052272,0.020139682,0.974069565,0.018701332,0.969327074,0.028297611,0.969327074,0.028297611,0.978812057,0.019031192,0.977302705,0.017223238,0.944941436,0.040740286,0.481038895,0.064188851
enterococcus_vancomycin_pointfinder+cdhit_train,Linear SVM,61,"[{'clf__C': 1}, {'clf__C': 10}, {'clf__C': 10}, {'clf__C': 1}, {'clf__C': 1}]","[0.18487950864467828, 0.15221464929210204, 0.16767489949225167, -0.028486050333695057, 0.175323557464998]",0.167674899,69.2,1.166190379,1,1.095445115,46.2,1.166190379,2.2,1.326649916,0.989094496,0.008231218,0.973066515,0.017914052,0.974030442,0.018387827,0.969248826,0.018486236,0.969248826,0.018486236,0.978812057,0.023308017,0.977422859,0.014934874,0.944455806,0.037393067,0.130321313,0.080120142
enterococcus_vancomycin_pointfinder+cdhit_train,AdaBoost,61,"[{'clf__learning_rate': 0.5, 'clf__n_estimators': 200}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.5, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 50}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 50}]","[0.5209867231593984, 0.522553925731512, 0.5257626763868832, 0.517878474012381, 0.5099855687104373]",0.520986723,69.2,0.748331477,1,1.095445115,46.2,1.166190379,2.2,0.979795897,0.991969667,0.005609087,0.973052272,0.016259576,0.974030442,0.017293404,0.969248826,0.013529311,0.969248826,0.013529311,0.978812057,0.023308017,0.977463525,0.013492691,0.944251557,0.034041334,0.519433474,0.005364505
enterococcus_vancomycin_pointfinder+cdhit_train,Decision Tree,61,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}, {'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}, {'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}, {'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10}]","[0.6625441696113074, 0.7682926829268293, 1.0, 0.7251798561151077, 0.6654929577464789]",0.725179856,68.6,0.489897949,0.8,0.748331477,46.4,0.8,2.8,0.979795897,0.986210585,0.016450221,0.969676684,0.01134661,0.971971873,0.011488732,0.960876369,0.01341661,0.960876369,0.01341661,0.983067376,0.015899224,0.974467229,0.009503086,0.937896907,0.023431824,0.764301933,0.124272199
enterococcus_vancomycin_pointfinder+cdhit_train,Balanced Random Forest,61,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}]","[0.5013555555555557, 0.53, 0.43461950978379343, 0.373, 0.42024404761904754]",0.43461951,69.2,1.166190379,1.2,0.748331477,46,0.894427191,2.2,1.6,0.994598858,0.00342474,0.971357357,0.012539199,0.971941906,0.01104878,0.969327074,0.022183616,0.969327074,0.022183616,0.974556738,0.015946608,0.975985012,0.010602418,0.941226439,0.025694569,0.451843823,0.056694569
enterococcus_vancomycin_pointfinder+cdhit_train,SGD Logistic,61,"[{'clf__alpha': 0.0001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}, {'clf__alpha': 0.001}]","[0.28535313026696224, 0.6369202066304414, 0.5880900067319046, 0.5873402067385722, 0.7254138545366554]",0.588090007,68.6,2.416609195,0.8,0.748331477,46.4,0.8,2.8,2.315167381,0.992050827,0.006432278,0.96970517,0.02162194,0.971913187,0.01948807,0.960758998,0.032625824,0.960758998,0.032625824,0.983067376,0.015899224,0.974169641,0.018963551,0.93876277,0.042621282,0.564623481,0.148417665
enterococcus_vancomycin_pointfinder+cdhit_train,Extra Trees,61,"[{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}]","[0.5173093482974821, 0.6232770276826525, 0.5182546046167824, 0.504, 0.4228772483854916]",0.517309348,68.4,1.019803903,0.8,0.748331477,46.4,0.8,3,1.414213562,0.993525872,0.004506058,0.967981769,0.015382266,0.970582984,0.014784279,0.958098592,0.019532215,0.958098592,0.019532215,0.983067376,0.015899224,0.972968306,0.013009308,0.934665796,0.031443607,0.517143646,0.063756514
enterococcus_vancomycin_pointfinder+cdhit_train,Gradient Boosting,61,"[{'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.01, 'clf__max_depth': 3, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.1, 'clf__max_depth': 1, 'clf__n_estimators': 500}]","[0.802203082229193, 0.8168596821821058, 0.8535714320909218, 0.824362707793538, 0.7606393888181873]",0.816859682,64.8,10.45753317,0.8,0.748331477,46.4,0.8,6.6,10.72567014,0.989357956,0.013050035,0.937758154,0.095283464,0.945602546,0.081057306,0.908137715,0.148880174,0.908137715,0.148880174,0.983067376,0.015899224,0.939223179,0.096976943,0.889764636,0.160401882,0.811527259,0.030454594
enterococcus_vancomycin_pointfinder+cdhit_train,KNN,61,"[{'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 15, 'clf__p': 1, 'clf__weights': 'distance'}, {'clf__n_neighbors': 7, 'clf__p': 1, 'clf__weights': 'distance'}]","[0.4832214765100671, 0.6304347826086957, 0.5167785234899328, 0.525, 0.5]",0.516778523,67.2,1.6,2.8,1.720465053,44.4,1.624807681,4.2,1.939071943,0.989080553,0.010720946,0.941019798,0.019088598,0.941047348,0.020043241,0.941314554,0.026877678,0.941314554,0.026877678,0.940780142,0.036364379,0.950502025,0.015881951,0.878932553,0.040427278,0.531086957,0.051709334
enterococcus_vancomycin_pointfinder+cdhit_train,BernoulliNB,61,"[{'clf__alpha': 1.0, 'clf__binarize': None}, {'clf__alpha': 0.01, 'clf__binarize': None}, {'clf__alpha': 0.1, 'clf__binarize': None}, {'clf__alpha': 0.1, 'clf__binarize': None}, {'clf__alpha': 0.1, 'clf__binarize': None}]","[0.8947561220045869, 0.7084188645196382, 0.8491501051575003, 0.8583810412745577, 0.670718624607532]",0.849150105,63,2.19089023,2,2.097617696,45.2,2.227105745,8.4,2.416609195,0.959877884,0.014937694,0.912362911,0.017892364,0.920004037,0.018838024,0.882472613,0.033233308,0.882472613,0.033233308,0.957535461,0.044672759,0.923709984,0.015881237,0.827966121,0.035064679,0.796284952,0.089257573
enterococcus_vancomycin_pointfinder+cdhit+phenotypeseeker_train,Gradient Boosting,1061,"[{'clf__learning_rate': 0.05, 'clf__max_depth': 2, 'clf__n_estimators': 100}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.05, 'clf__max_depth': 1, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.01, 'clf__max_depth': 2, 'clf__n_estimators': 500}, {'clf__learning_rate': 0.05, 'clf__max_depth': 1, 'clf__n_estimators': 500}]","[0.6022765461065988, 0.6765441185291932, 0.888803192018707, 0.5467670471116303, 0.3190243349973447]",0.602276546,71.2,0.4,0.6,0.489897949,46.6,0.489897949,0.2,0.4,0.99905146,0.000783564,0.993263068,0.00629237,0.992272459,0.006815551,0.997222222,0.005555556,0.997222222,0.005555556,0.987322695,0.010352242,0.994425019,0.00520199,0.985975517,0.013146855,0.606683048,0.184840052
