dataset,model,n_features,fold_best_params,fold_thresholds,median_threshold,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std,auc_mean,auc_std,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,recall_mean,recall_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,f1_mean,f1_std,mcc_mean,mcc_std,threshold_mean,threshold_std
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,RBF SVM,1217,"[{'clf__C': 100, 'clf__gamma': 'auto'}, {'clf__C': 100, 'clf__gamma': 'auto'}, {'clf__C': 100, 'clf__gamma': 'scale'}, {'clf__C': 100, 'clf__gamma': 'auto'}, {'clf__C': 1, 'clf__gamma': 0.1}]","[0.28410177743592374, 0.22956362373154474, 0.21550991025654498, 0.2051375555888318, 0.18830333535487714]",0.21550991,28.8,3.249615362,25,6.841052551,95.6,6.887670143,10,3.033150178,0.82968419,0.049884933,0.780377358,0.036372307,0.767260654,0.034507913,0.741835358,0.079566759,0.741835358,0.079566759,0.79268595,0.056604572,0.622966701,0.047963705,0.49017755,0.069566841,0.22452324,0.032692305
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,AdaBoost,1217,"[{'clf__learning_rate': 1.0, 'clf__n_estimators': 200}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 500}, {'clf__learning_rate': 1.0, 'clf__n_estimators': 500}]","[0.4453547483719059, 0.4752817074657844, 0.46861631460974773, 0.4630715630702261, 0.4775375808044602]",0.468616315,31,3.224903099,32.4,7.2277244,88.2,7.138627319,7.8,3.18747549,0.825796779,0.051465919,0.747759434,0.043898881,0.765155781,0.043137002,0.798920378,0.081826348,0.798920378,0.081826348,0.731391185,0.059598601,0.607735772,0.053652817,0.468501125,0.078723664,0.465972383,0.011497037
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,HistGB,1217,"[{'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 50}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}, {'clf__l2_regularization': 0.0, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__max_leaf_nodes': 31, 'clf__min_samples_leaf': 10}]","[0.1939419679619924, 0.21531996451728241, 0.3364186171292156, 0.28721970863309276, 0.2307868343753332]",0.230786834,28.4,4.223742416,26,3.521363372,94.6,3.072458299,10.4,3.878143886,0.823954395,0.050821458,0.77163522,0.030491285,0.757778521,0.051773901,0.731039136,0.103372057,0.731039136,0.103372057,0.784517906,0.028447258,0.607156626,0.064680591,0.467247595,0.089632005,0.252737419,0.052019939
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,Linear SVM,1217,"[{'clf__C': 0.01}, {'clf__C': 0.1}, {'clf__C': 0.1}, {'clf__C': 0.1}, {'clf__C': 0.1}]","[-0.03158702012241172, -0.035539146238116895, -0.048422186073705555, -0.08996595116957386, -0.1987973305625008]",-0.048422186,27.2,3.310589071,23.6,1.624807681,97,1.673320053,11.6,3.136877428,0.827134113,0.043451424,0.779166667,0.02001417,0.752493029,0.039934644,0.700674764,0.081952672,0.700674764,0.081952672,0.804311295,0.013517836,0.605277026,0.049223311,0.464835114,0.066525348,-0.080862327,0.06249184
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,LogReg (L2),1217,"[{'clf__C': 0.1}, {'clf__C': 1}, {'clf__C': 1}, {'clf__C': 1}, {'clf__C': 1}]","[0.482833661480805, 0.5022987655029274, 0.4760700666427726, 0.47924895604411416, 0.4099750559228314]",0.479248956,27,3.224903099,23.2,2.638181192,97.4,2.576819745,11.8,3.059411708,0.828424584,0.042068407,0.780408805,0.028996527,0.751595593,0.044579846,0.695546559,0.079882919,0.695546559,0.079882919,0.807644628,0.02178034,0.605623277,0.057747507,0.464975596,0.079201385,0.470085301,0.031411016
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,SGD Logistic,1217,"[{'clf__alpha': 0.01}, {'clf__alpha': 0.01}, {'clf__alpha': 0.01}, {'clf__alpha': 0.01}, {'clf__alpha': 0.0001}]","[0.6829856159810367, 0.18168940389530602, 0.32518667282447006, 0.6437061945122129, 1.0625181992835784e-22]",0.325186673,29.2,4.445222154,30.4,7.2277244,90.2,7.082372484,9.6,4.317406629,0.832302599,0.051261471,0.749064465,0.036174718,0.750114738,0.045023399,0.752226721,0.111646319,0.752226721,0.111646319,0.748002755,0.059552003,0.592221373,0.053498579,0.44764813,0.077232582,0.366713577,0.263510982
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,Gradient Boosting,1217,"[{'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.2, 'clf__max_depth': 3, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.2, 'clf__max_depth': 2, 'clf__n_estimators': 200}, {'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 200}]","[0.11991252834515173, 0.2661038879592568, 0.12563496422731765, 0.2446161605727575, 0.13499143064272004]",0.134991431,27,2.28035085,24,7.509993342,96.6,7.310266753,11.8,2.13541565,0.824447065,0.02846017,0.775400943,0.044911964,0.74839172,0.035617131,0.695681511,0.055841752,0.695681511,0.055841752,0.801101928,0.061956667,0.604153496,0.054289913,0.462915314,0.078930481,0.178251794,0.063506975
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,Balanced Random Forest,1217,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}]","[0.4468091870145298, 0.4312274114774115, 0.41866111111111115, 0.388862337662338, 0.4378093991663652]",0.431227411,28.8,4.261455151,30.4,4.317406629,90.2,3.919183588,10,4.147288271,0.826881717,0.040028931,0.746572327,0.033913124,0.745007194,0.053528915,0.74197031,0.107167792,0.74197031,0.107167792,0.748044077,0.034954477,0.585928138,0.0627728,0.436106154,0.091794655,0.424673889,0.020120052
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,Random Forest,1217,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 5, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}]","[0.38320873222784985, 0.3742176384589144, 0.37934269025851286, 0.3772469263104687, 0.4303470021681303]",0.37934269,28.2,3.370459909,28.6,5.817215829,92,5.366563146,10.6,3.261901286,0.825422545,0.034592923,0.754103774,0.035869469,0.744807999,0.042182797,0.726585695,0.084392861,0.726585695,0.084392861,0.763030303,0.047432773,0.589932312,0.050805414,0.441368883,0.075427351,0.388872598,0.020942535
mycobacterium_pyrazinamide_resfinder+pointfinder+cdhit+phenotypeseeker_train,Extra Trees,1217,"[{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}, {'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 500}, {'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5, 'clf__n_estimators': 500}, {'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 10, 'clf__n_estimators': 200}]","[0.4638308427012059, 0.43780541625981717, 0.3697911483587167, 0.3536070368414783, 0.4291475715359108]",0.429147572,27.8,3.42928564,27.6,4.630334761,93,4.38178046,11,3.346640106,0.829818687,0.036248418,0.757853774,0.038114505,0.74377759,0.049843339,0.716329285,0.086354587,0.716329285,0.086354587,0.771225895,0.037895674,0.589946912,0.062462692,0.440584101,0.089566386,0.410836403,0.042026065
